,TMEM,P5_1,J2_1,J2_14,J1AB,T2,Q1_1,Q1_3,Q1_5,Q1_13
442,4,2,1,2,1,1,2,2,1,1
443,4,2,1,2,1,2,2,1,1,1
444,3,2,2,2,1,2,2,3,1,1
445,2,1,1,2,1,2,2,1,1,1
446,4,1,1,2,1,2,2,1,2,1
447,6,2,1,2,1,1,2,2,1,1
448,5,2,1,2,1,2,2,1,1,1
449,5,2,1,2,1,3,2,1,1,1
450,6,1,1,2,1,1,2,2,1,1
451,6,2,1,2,1,1,2,1,2,1
452,5,1,1,2,1,2,2,1,1,1
453,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
454,5,2,1,2,1,1,2,2,1,1
455,3,2,1,2,1,2,2,1,1,1
456,4,2,1,2,1,9,9,9,9,9
457,3,1,1,2,1,2,2,1,1,1
458,4,1,1,2,1,1,2,2,1,1
459,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
460,4,1,1,2,1,1,1,1,2,1
461,5,1,1,2,1,1,2,2,1,1
462,4,1,1,2,1,1,2,1,2,2
463,3,2,1,2,1,2,2,1,1,1
464,7,2,1,2,1,2,2,1,1,1
465,6,1,1,2,1,2,3,1,1,1
466,6,1,1,2,1,3,2,2,2,1
467,5,1,1,2,1,3,1,1,1,1
468,5,1,1,2,1,2,2,2,1,1
469,5,2,1,2,1,1,2,2,1,1
470,4,1,1,2,1,1,2,1,2,1
471,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
472,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
473,5,2,1,2,1,2,2,1,1,1
474,4,2,1,2,1,9,9,9,9,9
475,7,1,2,2,1,1,2,2,1,1
476,4,1,1,2,1,1,2,1,2,1
477,4,1,1,2,1,2,2,1,1,1
478,4,1,1,2,1,2,1,1,1,1
479,5,1,1,2,1,2,2,3,1,1
480,7,1,1,2,1,2,2,1,1,1
481,7,1,1,2,1,2,2,2,1,1
482,4,2,1,2,1,1,2,2,1,1
483,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
484,8,1,1,2,1,2,1,1,1,1
485,3,2,2,2,1,2,2,3,1,1
486,6,2,2,2,1,2,2,1,1,3
487,10,2,2,2,1,2,2,2,3,1
488,6,2,1,2,1,2,2,2,1,1
489,6,1,1,2,1,2,2,1,2,2
490,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
491,6,2,2,2,1,1,2,2,1,1
492,4,2,1,2,1,2,2,1,1,2
493,4,1,1,2,1,2,2,3,1,1
494,4,2,1,2,1,2,2,1,1,1
495,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
496,12,2,1,2,1,2,2,1,1,1
497,3,2,2,2,1,3,2,2,2,1
498,5,2,1,2,1,3,2,3,3,1
499,5,2,1,2,1,3,2,1,1,1
500,5,2,1,2,1,2,2,2,1,1
501,8,2,1,2,1,2,2,2,1,1
502,5,2,1,2,1,2,3,2,1,2
503,5,2,1,2,1,2,2,1,1,1
504,4,2,1,2,1,2,1,2,1,1
505,8,1,1,2,1,2,2,2,1,1
506,10,2,1,2,1,2,2,2,2,2
507,5,2,2,2,1,2,2,1,1,1
508,9,2,1,2,1,2,2,1,2,2
509,5,2,2,2,1,2,1,2,1,2
510,7,2,1,2,1,2,2,2,1,1
511,2,2,1,2,1,2,2,2,2,1
512,10,2,1,2,1,2,2,2,1,1
513,5,2,2,2,1,2,2,1,1,1
514,9,2,2,2,1,2,2,2,1,2
515,7,2,1,2,1,2,2,2,1,1
516,5,2,1,2,1,2,2,1,1,1
517,7,2,1,2,1,2,2,2,2,1
518,5,2,1,2,1,2,2,2,1,1
519,7,2,1,2,1,2,2,1,2,2
520,6,1,1,2,1,2,2,2,1,1
521,9,2,1,2,1,2,2,2,1,1
522,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
523,7,2,1,2,1,3,2,1,1,1
524,6,2,1,2,1,2,2,2,1,2
525,6,1,1,2,1,2,2,2,1,1
526,5,2,1,2,1,2,2,2,2,1
527,12,2,1,2,1,2,2,1,2,1
528,10,1,1,2,1,2,2,1,1,1
529,6,2,1,2,1,3,2,1,1,2
530,7,2,1,2,1,2,1,2,1,2
531,4,1,1,2,1,2,2,2,1,1
532,4,1,1,2,1,2,2,2,1,1
533,5,2,1,2,1,2,2,1,2,1
534,5,2,1,2,1,3,2,1,1,1
535,2,2,1,2,1,2,2,2,2,1
536,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
537,4,2,1,2,1,2,2,2,1,2
538,5,2,1,2,1,2,1,1,1,1
539,10,2,1,2,1,2,1,2,1,2
540,5,1,1,2,1,2,2,1,1,1
541,3,1,1,2,1,2,2,1,1,2
542,5,2,1,2,1,2,2,2,1,1
543,6,2,1,2,1,2,2,2,1,1
544,6,2,1,2,1,2,2,1,1,1
545,9,1,1,2,1,2,2,2,1,3
546,5,2,1,2,1,2,2,2,1,2
547,3,2,1,2,1,2,2,2,1,1
548,5,2,1,2,1,2,2,2,2,1
549,4,2,2,2,1,2,2,2,2,1
550,6,2,1,2,1,2,2,1,1,1
551,6,2,1,2,1,2,2,2,1,1
552,5,1,1,2,1,2,1,2,1,2
553,5,2,1,2,1,2,2,2,1,1
554,9,2,1,2,1,2,2,2,2,2
555,5,2,1,2,1,9,9,9,9,9
556,7,2,1,2,1,3,2,2,1,1
557,4,2,1,2,1,2,2,1,1,2
558,7,2,1,2,1,2,2,2,1,1
559,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
560,8,2,1,2,1,2,2,1,2,1
561,10,2,1,2,1,3,2,2,1,1
562,7,2,1,2,1,2,2,1,1,1
563,12,2,1,2,1,2,2,2,1,2
564,5,2,1,2,1,2,2,1,2,1
565,6,2,1,2,1,2,2,1,1,1
566,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
567,12,1,1,2,1,2,2,1,1,1
568,7,2,1,2,1,3,2,2,1,1
569,4,2,1,2,1,2,2,2,2,1
570,5,2,1,2,1,2,2,2,1,1
571,6,2,1,2,1,3,2,2,3,1
572,5,2,1,2,1,3,2,1,2,1
573,9,1,1,2,1,2,2,1,1,2
574,5,2,1,2,1,2,2,2,1,1
575,6,2,1,2,1,2,2,2,1,1
576,5,2,1,2,1,2,2,2,1,1
577,5,2,1,2,1,2,2,2,1,1
578,7,2,1,2,1,2,2,1,1,1
579,4,2,1,2,1,2,2,2,1,1
580,6,1,1,2,1,3,2,2,1,1
581,6,2,1,2,1,2,2,2,2,1
582,5,2,1,2,1,2,2,1,1,1
583,4,1,1,2,1,2,2,2,1,2
